time,motor1,motor2,motor3
2278,264,353,385
2284,264,353,386
2290,263,353,386
2296,263,353,387
2302,262,353,388
2308,262,353,388
2315,263,354,387
2321,265,354,385
2327,267,354,382
2333,269,354,380
2339,270,354,377
2347,272,353,375
2353,273,353,374
2359,275,352,374
2365,276,351,373
2371,277,350,372
2377,278,349,372
2383,280,349,371
2390,280,349,370
2396,281,348,369
2402,282,348,368
2408,284,348,366
2414,285,348,364
2420,287,348,362
2426,288,347,361
2432,289,347,360
2438,291,347,359
2444,292,347,358
2450,293,347,357
2456,294,347,356
2462,295,347,355
2468,296,347,354
2475,297,346,353
2481,299,346,351
2487,301,346,348
2493,303,346,346
2499,306,346,344
2506,307,347,342
2512,308,347,341
2518,309,347,340
2524,310,348,338
2530,311,348,337
2536,311,348,336
2542,312,348,335
2548,313,348,333
2554,314,349,333
2560,314,349,332
2566,315,349,331
2572,315,349,330
2578,316,349,329
2585,317,350,329
2591,317,350,328
2597,318,350,327
2603,319,350,326
2609,320,351,325
2615,321,351,324
2621,322,351,323
2627,322,351,322
2633,323,350,322
2639,323,350,321
2646,324,349,321
2652,325,349,320
2658,326,348,319
2666,328,349,319
2672,329,349,317
2678,331,349,316
2684,332,349,314
2690,334,349,313
2696,335,349,311
2702,336,349,310
2708,336,349,310
2714,335,350,311
2720,335,350,311
2726,334,350,312
2732,333,350,312
2738,332,350,313
2745,331,351,313
2751,331,351,312
2757,332,352,311
2763,332,352,310
2769,333,353,309
2775,333,353,308
2781,334,353,308
2787,334,353,308
2793,335,352,307
2799,336,352,307
2805,338,351,306
2811,340,350,305
2817,341,349,304
2823,343,348,303
2829,344,348,303
2835,344,348,303
2841,345,347,302
2847,347,347,300
2853,350,347,298
2859,352,347,296
2865,355,347,293
2874,358,348,291
2880,354,348,295
2886,350,349,298
2892,346,350,302
2898,342,351,305
2904,338,352,308
2910,334,352,310
2916,333,352,310
2922,334,351,309
2928,335,351,309
2934,335,351,308
2940,336,351,307
2946,337,351,307
2953,338,350,306
2959,338,350,306
2965,339,350,305
2971,339,350,305
2977,340,350,305
2983,340,350,304
2989,341,350,304
2995,341,350,304
3001,341,349,305
3007,341,349,305
3013,341,348,306
3019,341,348,306
3025,341,347,307
3033,342,347,307
3039,343,347,306
3045,344,347,305
3051,345,347,304
3057,346,347,303
3063,347,346,302
3069,347,346,302
3075,347,346,302
3081,346,347,303
3087,345,347,303
3093,343,348,304
3099,341,349,305
3105,339,349,306
3112,338,350,307
3118,338,350,307
3124,338,350,307
3130,339,349,307
3136,339,349,307
3142,339,348,307
3148,339,348,307
3154,339,348,307
3161,338,349,308
3167,337,349,308
3173,336,349,309
3179,335,349,310
3185,334,349,311
3191,333,350,313
3197,333,350,313
3203,332,350,313
3209,332,350,313
3215,331,350,314
3221,331,350,314
3227,330,350,315
3233,329,350,315
3239,329,351,316
3245,328,351,316
3251,327,351,316
3257,327,351,316
3263,326,351,317
3269,325,351,317
3275,325,351,318
3281,325,351,318
3287,325,351,318
3293,325,351,318
3299,325,351,318
3305,324,351,318
3311,324,351,319
3320,323,352,320
3326,323,352,320
3332,322,352,320
3338,321,353,321
3344,321,353,321
3352,320,352,322
3358,320,352,322
3364,320,352,323
3371,320,351,323
3377,320,351,324
3383,319,351,324
3389,319,351,324
3395,319,351,324
3401,318,352,324
3407,318,352,324
3414,318,352,324
3420,318,353,324
3426,318,353,324
3432,318,353,324
3438,318,353,324
3444,318,353,324
3450,317,354,325
3456,317,354,325
3462,317,354,325
3468,316,355,325
3474,316,355,325
3480,315,356,325
3486,315,356,325
3492,314,356,325
3499,314,357,325
3505,313,357,325
3511,313,357,325
3517,313,357,325
3523,313,357,325
3529,314,357,324
3535,314,357,324
3542,315,357,323
3548,315,357,323
3554,316,357,322
3560,316,358,322
3566,316,358,322
3572,316,358,321
3578,316,359,321
3584,316,359,321
3590,316,359,320
3596,316,359,320
3602,316,359,320
3608,317,358,319
3614,317,358,319
3620,318,358,318
3627,319,358,318
3633,319,358,317
3640,321,357,317
3646,321,357,317
3652,321,357,317
3658,322,356,317
3664,322,356,317
3670,322,356,317
3676,322,356,317
3682,322,356,317
3688,323,355,316
3694,323,355,316
3700,323,355,316
3706,324,355,315
3712,324,355,315
3718,324,355,315
3726,323,356,316
3732,323,356,316
3738,323,356,316
3744,323,357,316
3750,323,357,316
3756,323,357,316
3762,323,357,316
3768,322,357,316
3774,322,357,316
3780,322,357,316
3786,322,357,316
3792,322,357,316
3800,323,356,315
3806,323,356,315
3812,323,356,315
3818,324,356,314
3824,324,356,314
3830,324,356,314
3836,324,356,314
3842,324,356,314
3848,324,356,315
3854,324,356,315
3860,324,356,315
3866,324,356,315
3872,324,356,315
3878,324,355,316
3884,324,355,316
3890,324,355,316
3896,324,355,316
3902,324,355,316
3908,324,355,316
3914,324,355,316
3920,324,355,316
3926,324,356,315
3932,324,356,315
3938,324,356,315
3944,324,357,314
3950,324,357,314
3956,324,357,314
3962,325,357,313
3968,325,357,313
3974,325,357,313
3980,325,357,313
3986,325,357,313
3992,325,357,313
3998,325,357,313
4005,325,357,314
4011,325,357,314
4017,325,357,314
4023,325,357,314
4029,325,357,314
4035,325,357,314
4041,325,357,314
4047,325,357,314
4054,325,356,314
4060,325,356,314
4066,325,356,314
4072,325,356,314
4078,325,356,314
4086,324,357,313
4092,324,357,313
4098,324,358,313
4104,323,359,313
4110,322,360,312
4116,322,361,312
4122,322,361,312
4128,322,361,312
4134,321,361,313
4140,321,361,313
4146,321,361,313
4152,320,361,314
4158,320,361,314
4166,321,360,313
4172,321,360,313
4178,322,360,313
4184,322,360,313
4190,323,360,312
4196,323,360,312
4202,323,360,312
4208,323,360,312
4214,324,359,311
4220,324,359,311
4226,324,359,311
4232,325,358,311
4238,325,358,311
4245,327,357,311
4251,327,357,311
4257,327,357,311
4263,327,357,311
4269,327,357,311
4275,327,357,311
4281,327,357,311
4287,327,357,311
4293,326,358,312
4299,326,358,312
4305,325,359,312
4311,325,359,312
4317,324,360,312
4325,323,360,313
4331,323,359,313
4337,323,359,313
4343,323,358,314
4349,323,358,314
4355,323,357,314
4361,323,357,314
4367,323,357,314
4373,323,357,315
4379,323,357,315
4385,323,357,315
4391,323,357,315
4397,323,357,315
4403,323,357,315
4409,323,358,314
4415,323,358,314
4421,323,358,314
4427,323,358,314
4433,323,358,314
4439,323,358,314
4445,323,358,314
4451,323,358,314
4457,322,357,315
4463,322,357,315
4469,322,357,315
4475,322,357,316
4481,322,357,316
4487,321,357,317
4493,321,357,317
4499,321,357,317
4505,320,357,318
4511,320,357,318
4517,320,357,318
4523,320,357,318
4529,320,357,318
4535,321,356,318
4541,321,356,318
4547,321,356,318
4553,322,355,318
4559,322,355,318
4566,322,354,319
4572,322,354,319
4578,322,354,319
4584,322,353,319
4590,322,353,319
4596,322,353,319
4602,322,353,319
4608,322,353,319
4614,321,354,318
4620,321,354,318
4626,321,355,318
4632,320,356,318
4638,320,356,318
4644,320,357,318
4651,320,357,318
4657,320,357,318
4663,321,356,317
4669,321,356,317
4675,321,356,317
4681,322,356,317
4687,322,356,317
4694,323,357,316
4700,323,357,316
4706,323,357,315
4712,324,357,315
4718,324,357,314
4724,324,357,314
4730,324,357,314
4736,324,357,314
4742,323,356,315
4748,323,356,315
4754,323,356,315
4760,323,356,316
4766,323,356,316
4773,322,357,315
4779,322,357,315
4785,322,357,315
4791,322,357,315
4797,322,357,315
4803,322,357,315
4809,322,357,315
4815,322,357,315
4822,323,356,316
4828,323,356,316
4834,323,356,316
4840,323,356,316
4846,323,356,316
4852,324,355,315
4858,324,355,315
4864,324,355,315
4870,325,354,315
4876,326,354,315
4882,326,353,315
4888,326,353,315
4894,326,353,315
4900,326,354,314
4907,326,354,314
4913,326,355,313
4919,326,356,313
4925,326,356,312
4932,327,358,312
4938,327,358,312
4944,327,358,312
4950,327,358,312
4956,327,358,312
4962,327,358,311
4968,327,358,311
4974,327,358,311
4980,327,358,310
4986,327,358,310
4992,327,358,310
4998,327,358,310
5004,327,358,310
5012,328,357,309
5018,328,357,309
5024,329,357,309
5030,329,356,309
5036,330,356,309
5042,330,356,309
5048,330,356,309
5054,330,356,309
5060,330,355,310
5066,330,355,310
5072,330,355,310
5078,330,355,310
5084,330,355,310
5090,330,355,310
5096,329,356,311
5102,329,356,311
5108,328,356,311
5114,328,356,312
5120,327,356,312
5126,327,356,312
5132,327,356,312
5138,327,356,312
5144,326,357,312
5150,326,358,312
5156,325,358,312
5163,325,359,312
5169,324,360,312
5175,324,360,313
5181,324,360,313
5187,324,359,314
5193,324,359,314
5199,323,359,315
5206,323,358,315
5212,323,358,315
5220,322,357,316
5226,322,357,316
5232,321,357,317
5238,320,357,318
5244,320,357,318
5250,319,357,319
5256,319,357,319
5262,319,357,319
5268,320,358,318
5274,320,358,318
5280,321,358,317
5286,321,358,316
5292,322,358,316
5299,323,358,315
5305,323,358,315
5311,323,358,315
5317,323,358,315
5323,323,358,315
5329,323,358,314
5335,323,358,314
5341,323,358,314
5347,322,357,315
5353,322,357,315
5359,322,357,315
5365,322,356,316
5371,322,356,316
5379,321,357,317
5385,321,357,317
5391,321,357,317
5397,320,357,318
5403,320,357,319
5409,320,357,319
5415,320,357,319
5421,320,357,319
5427,321,356,318
5433,321,356,318
5439,321,356,318
5445,322,356,317
5451,322,356,317
5459,321,355,318
5465,321,355,318
5471,321,355,318
5477,321,355,318
5483,321,355,318
5489,321,355,318
5495,321,355,318
5501,321,355,318
5508,322,356,317
5514,322,356,317
5520,322,356,317
5526,322,356,317
5532,322,356,317
5538,321,355,318
5544,321,355,318
5550,321,355,318
5556,321,355,318
5562,321,355,319
5568,321,355,319
5574,321,355,319
5580,321,355,319
5586,322,356,318
5592,322,356,318
5598,322,356,317
5604,323,356,317
5610,323,356,316
5616,323,356,316
5622,324,355,315
5628,325,355,315
5634,325,355,315
5640,326,354,314
5646,327,354,314
5652,327,354,314
5658,327,354,314
5666,326,355,314
5672,326,355,314
5678,326,355,314
5684,325,356,314
5690,325,356,314
5696,325,356,314
5702,325,356,314
5708,325,356,314
5714,325,356,314
5722,326,355,313
5728,328,354,313
5734,330,353,312
5740,331,352,311
5746,333,351,312
5752,336,347,314
5758,339,343,317
5764,341,340,320
5770,344,336,323
5778,347,332,326
5784,347,329,329
5790,347,325,333
5796,347,321,337
5803,347,317,341
5809,347,313,345
5815,347,309,349
5821,347,305,353
5827,346,305,353
5833,346,309,349
5839,346,313,345
5846,346,316,341
5852,346,316,337
5858,346,316,333
5864,346,316,332
5870,346,316,332
5876,346,317,331
5882,346,318,331
5888,346,318,330
5894,346,319,329
5900,346,320,329
5906,345,320,327
5912,345,320,327
5918,345,321,327
5924,345,321,327
5931,345,321,327
5937,345,322,327
5943,345,322,327
5949,345,322,327
5955,344,323,326
5961,343,324,326
5967,342,326,326
5974,340,328,325
5980,339,330,325
5986,338,330,324
5992,336,333,324
5998,334,335,323
6004,332,338,322
6010,331,340,322
6016,329,342,321
6022,327,345,321
6028,327,346,321
6034,326,347,322
6040,326,347,322
6046,326,347,322
6052,325,347,322
6059,325,347,322
6066,324,348,322
6072,323,349,322
6078,322,350,322
6084,320,352,322
6090,319,354,322
6096,318,355,322
6102,317,356,322
6108,317,356,322
6114,317,357,321
6120,316,358,321
6126,316,359,320
6132,315,360,320
6138,315,361,319
6146,314,362,320
6152,313,363,320
6158,311,365,320
6164,310,366,321
6170,308,367,321
6176,307,368,321
6182,306,369,321
6188,306,369,321
6194,307,368,320
6200,308,367,320
6206,309,366,320
6212,310,365,320
6218,311,364,320
6225,312,363,321
6231,311,364,321
6237,310,365,321
6243,309,366,322
6249,308,367,322
6255,307,368,322
6261,306,369,322
6267,306,369,322
6274,307,368,321
6280,307,368,321
6286,307,368,321
6292,308,367,321
6298,308,367,321
6305,307,368,322
6311,307,368,322
6317,307,368,322
6323,306,368,322
6329,306,368,322
6335,306,368,322
6341,306,368,322
6347,306,368,322
6353,307,367,322
6359,308,366,322
6365,309,365,322
6371,310,364,322
6377,311,363,322
6384,312,362,323
6390,312,362,323
6396,312,362,323
6402,312,362,323
6408,312,362,324
6414,312,362,324
6420,311,362,324
6426,311,362,324
6432,312,361,323
6438,312,361,323
6444,313,361,323
6450,313,360,323
6456,314,360,323
6462,314,359,323
6468,314,358,323
6474,314,358,323
6480,313,359,322
6486,313,359,322
6492,313,359,322
6498,313,360,322
6504,313,360,322
6512,314,359,321
6518,315,358,321
6524,317,356,321
6530,319,355,321
6536,320,353,321
6542,322,352,321
6548,323,351,321
6554,323,351,321
6560,322,351,322
6566,322,351,322
6572,322,351,322
6578,321,351,323
6584,320,351,323
6590,320,351,323
6596,321,352,322
6602,321,352,321
6608,321,353,321
6614,322,353,320
6620,322,354,319
6626,322,354,319
6632,322,354,319
6640,323,353,318
6646,323,353,318
6652,324,353,317
6658,325,353,316
6664,326,352,315
6672,328,352,314
6678,328,352,314
6684,329,352,313
6690,330,352,313
6696,330,352,312
6702,331,352,312
6708,332,352,311
6714,332,352,311
6720,333,352,310
6726,333,352,310
6732,334,352,309
6738,334,352,309
6744,335,352,308
6751,336,352,308
6757,336,352,308
6763,336,352,307
6769,337,352,307
6775,337,352,307
6781,337,352,306
6787,337,352,306
6793,337,352,306
6799,336,353,306
6805,336,353,306
6811,336,353,306
6817,336,353,306
6823,336,353,306
6829,336,353,306
6835,337,354,305
6841,337,354,305
6847,337,355,304
6853,338,355,303
6859,338,356,302
6865,338,356,302
6871,338,356,302
6877,338,356,302
6883,339,355,303
6889,339,355,303
6895,339,355,303
6901,339,354,303
6907,339,354,303
6913,340,354,302
6919,340,354,302
6925,340,354,302
6931,340,354,302
6937,340,354,302
6943,340,354,302
6949,340,354,302
6955,340,354,302
6961,339,355,303
6967,338,355,303
6973,337,356,303
6979,335,357,304
6985,334,357,304
6991,335,359,303
6998,335,359,303
7004,335,359,303
7010,335,359,302
7016,335,359,302
7022,335,359,302
7028,335,359,302
7034,335,359,302
7041,334,358,303
7047,334,358,303
7053,334,357,304
7059,334,356,305
7065,334,356,305
7071,334,355,306
7077,334,355,306
7083,334,355,306
7089,333,356,307
7095,333,356,307
7101,332,356,307
7107,332,357,307
7113,331,357,307
7119,331,356,308
7126,331,356,308
7132,331,356,308
7138,331,355,309
7144,331,355,309
7150,331,355,309
7156,331,355,309
7162,331,355,309
7168,332,354,310
7174,332,354,310
7180,332,354,310
7186,332,353,310
7192,332,353,310
7199,333,352,311
7205,333,352,311
7211,333,352,311
7217,333,351,311
7223,333,350,311
7229,333,350,311
7235,333,350,311
7241,333,350,311
7247,332,351,311
7254,332,351,311
7260,332,351,311
7266,332,352,311
7272,332,352,311
7278,333,351,312
7284,333,351,312
7290,333,350,312
7296,333,350,312
7302,333,349,313
7308,333,349,313
7314,333,349,313
7320,333,349,313
7326,334,348,314
7332,334,347,314
7339,335,346,315
7345,335,344,316
7351,336,343,316
7359,337,342,318
7365,337,341,318
7371,338,339,318
7377,339,338,319
7383,340,337,319
7389,341,336,319
7395,341,335,319
7401,341,334,319
7407,340,335,318
7413,339,336,318
7419,337,338,318
7425,336,340,317
7431,335,341,317
7439,334,343,318
7445,334,343,318
7451,334,343,319
7457,334,343,319
7463,334,343,320
7469,333,343,320
7475,333,343,320
7481,333,343,320
7487,333,342,320
7493,333,342,320
7499,333,342,320
7505,333,341,320
7511,333,341,320
7518,334,341,320
7524,334,341,320
7530,334,341,320
7536,334,341,320
7542,334,341,320
7548,334,341,320
7554,334,341,320
7560,334,341,320
7567,333,342,319
7573,333,343,319
7579,333,344,318
7585,333,345,317
7591,333,346,316
7598,334,347,315
7604,334,347,315
7610,334,347,315
7616,334,347,315
7622,334,347,315
7628,334,347,315
7634,334,346,315
7640,334,346,315
7646,333,347,315
7652,333,347,315
7658,333,347,315
7664,332,347,315
7670,332,347,315
7676,332,347,315
7682,332,347,315
7688,332,347,315
7694,331,348,315
7700,331,348,315
7706,331,348,315
7712,331,348,315
7718,331,348,315
7726,331,349,314
7732,331,349,314
7738,331,349,314
7744,331,349,314
7750,331,349,314
7756,331,349,314
7762,331,349,314
7768,331,349,314
7775,332,350,313
7781,332,350,313
7787,332,350,313
7793,332,350,312
7799,332,350,312
7805,331,351,313
7811,331,351,313
7817,331,351,313
7823,330,351,313
7829,330,352,313
7835,330,352,313
7841,330,352,313
7847,330,352,313
7853,331,351,314
7859,331,351,314
7865,331,350,314
7871,332,349,315
7877,332,349,315
7885,333,348,314
7891,333,348,314
7897,333,348,314
7903,333,348,314
7909,333,348,314
7915,333,348,314
7921,333,348,314
7927,333,348,314
7933,334,347,315
7939,334,347,315
7945,334,346,315
7951,335,346,315
7957,335,345,315
7964,334,345,316
7970,334,345,316
7976,334,345,316
7982,334,345,316
7988,334,345,316
7994,334,344,316
8000,334,344,316
8006,334,344,316
8013,333,343,317
8019,333,343,317
8025,333,343,318
8031,332,342,318
8037,332,342,319
8044,332,341,321
8050,332,341,321
8056,332,340,322
8062,332,340,322
8068,332,339,323
8074,332,339,323
8080,332,339,323
8086,332,339,323
8092,332,338,324
8098,332,338,324
8104,332,337,325
8110,332,337,325
8116,332,336,326
8122,332,336,326
8128,333,335,327
8134,333,334,327
8140,333,334,328
8146,333,333,328
8152,333,332,329
8158,333,332,329
8164,333,332,329
8172,334,333,328
8178,334,333,328
8184,334,333,328
8190,334,333,327
8196,334,333,327
8204,333,334,327
8210,333,334,327
8216,333,334,327
8222,333,335,327
8228,333,335,327
8235,333,335,327
8241,333,335,327
8247,333,335,327
8253,334,336,326
8259,334,336,326
8265,334,336,325
8271,334,336,325
8278,334,336,324
8284,334,336,324
8290,334,336,324
8296,334,336,324
8302,335,335,325
8308,335,335,325
8314,335,334,325
8320,336,334,325
8326,336,333,325
8332,335,334,324
8338,335,334,324
8344,335,335,323
8350,335,336,323
8356,335,336,322
8363,335,337,322
8369,335,337,322
8375,335,337,322
8381,336,336,321
8387,336,336,321
8393,337,336,320
8399,338,336,320
8406,338,336,319
8413,340,335,319
8419,340,335,319
8425,341,335,318
8431,341,335,318
8437,342,335,318
8443,342,335,317
8449,342,335,317
8455,342,335,317
8461,341,336,318
8467,340,336,318
8473,339,337,319
8479,338,337,320
8485,336,338,320
8492,337,339,321
8498,337,339,321
8504,337,339,320
8510,337,339,320
8516,337,339,320
8522,337,339,319
8528,337,339,319
8534,337,339,319
8540,336,338,320
8546,336,338,320
8552,335,337,321
8558,335,337,322
8564,334,336,323
8572,333,337,325
8578,333,337,325
8584,332,337,325
8590,332,338,325
8596,331,338,325
8602,331,338,325
8608,331,338,325
8614,331,338,325
8620,330,339,324
8626,330,339,324
8632,330,340,324
8638,330,340,323
8644,330,341,323
8652,329,342,324
8658,329,342,324
8664,328,342,324
8670,328,343,324
8676,327,343,324
8682,327,343,324
8688,327,343,324
8694,327,343,324
8700,326,342,325
8706,326,342,325
8712,326,342,325
8718,326,342,326
8724,326,342,326
8732,327,343,325
8738,327,343,325
8744,327,343,325
8750,327,344,324
8756,327,344,324
8762,327,344,324
8768,327,344,324
8774,327,344,324
8780,327,345,323
8786,327,345,323
8792,327,345,323
8798,327,346,322
8804,327,346,322
8812,326,347,322
8818,326,347,322
8824,326,347,322
8830,325,347,322
8836,325,347,322
8842,325,347,322
8848,325,347,322
8854,325,347,322
8860,324,348,323
8866,324,348,323
8872,324,348,323
8878,323,348,324
8884,323,348,324
8890,323,348,324
8896,323,348,324
8902,323,348,324
8908,323,348,324
8914,323,348,324
8920,323,348,324
8926,323,348,324
8932,323,348,324
8938,324,347,323
8944,324,347,323
8950,325,346,323
8956,325,346,323
8962,326,345,323
8968,326,345,323
8974,326,345,323
8980,326,345,323
8987,325,346,322
8993,325,346,322
8999,325,347,322
9005,324,347,322
9011,324,348,322
9019,323,348,323
9025,323,348,323
9031,323,347,324
9037,323,347,324
9043,323,347,325
9049,323,346,325
9055,323,346,325
9061,323,346,325
9067,323,346,325
9073,323,346,325
9079,323,346,325
9085,323,346,325
9091,323,346,325
9098,322,347,325
9104,322,347,325
9110,322,347,325
9116,322,347,325
9122,322,347,325
9128,322,347,325
9134,322,347,325
9140,322,347,325
9147,323,348,324
9153,323,348,324
9159,323,348,324
9165,323,348,324
9171,323,348,324
9179,322,349,325
9185,322,349,325
9191,321,349,325
9197,321,349,325
9203,320,349,325
9209,320,349,325
9216,320,349,325
9222,320,349,325
9228,321,350,324
9234,321,350,324
9240,321,350,324
9246,322,350,323
9252,322,350,323
9259,322,350,323
9265,322,350,323
9271,322,350,323
9277,322,350,323
9283,322,350,323
9289,322,350,323
9295,322,350,323
9302,322,350,323
9308,321,350,324
9314,321,350,324
9320,320,350,324
9326,320,350,325
9332,319,350,325
9338,319,350,325
9344,319,350,325
9350,319,350,325
9356,319,350,325
9362,319,350,325
9368,319,350,325
9374,319,350,325
9380,319,350,325
9387,320,351,324
9393,320,351,324
9399,320,351,324
9405,321,351,323
9411,321,351,323
9417,320,352,322
9423,320,352,322
9430,320,353,322
9436,319,353,322
9442,319,354,322
9448,319,354,322
9454,319,354,322
9460,319,354,322
9466,319,355,321
9472,319,355,321
9478,319,355,321
9484,319,355,320
9490,319,355,320
9496,319,355,320
9502,319,355,320
9508,319,355,320
9515,320,354,319
9521,320,354,319
9527,321,354,319
9533,322,353,319
9539,323,353,319
9545,323,352,320
9551,323,352,320
9558,323,351,321
9564,323,350,321
9570,323,350,322
9576,323,349,322
9582,323,349,322
9588,323,349,322
9594,323,349,323
9600,323,349,323
9606,323,349,323
